,epochs,k_max,k_min,nModels,seed,train,valid,valid_avg
325,32,4,2,9,9206,0.24961725432385845,0.4774591023740943,0.42956709123077214
326,34,4,2,9,9206,0.2461156982593492,0.4760278227293016,0.42884468177307755
327,36,4,2,9,9206,0.23912118516579647,0.4754950134513141,0.4283332724343506
328,38,4,2,9,9206,0.23497596054243633,0.478641479785544,0.4290668427840173
329,40,4,2,9,9206,0.2325741821270522,0.4818718188474583,0.4289339243763281
330,42,4,2,9,9206,0.22611404428610987,0.4809771209482635,0.428322089223039
331,44,4,2,9,9206,0.221935466436065,0.48110067101943665,0.4283457452718902
332,46,4,2,9,9206,0.2184170215338507,0.4835286980361232,0.4273671501920177
333,48,4,2,9,9206,0.21535682914789211,0.4823091996556465,0.4273132259651157
334,50,4,2,9,9206,0.211817958903355,0.4833200377935904,0.42738652576890607
335,52,4,2,9,9206,0.2052504093681778,0.48677339989917295,0.42746716076245966
336,54,4,2,9,9206,0.20145918570808463,0.4858107133929449,0.42719356584871987
337,56,4,2,9,9206,0.19858888009272782,0.48643122071883094,0.42712655808106836
338,58,4,2,9,9206,0.19540406604286115,0.48557346723497896,0.4278073916183604
339,60,4,2,9,9206,0.1935069272150728,0.4892279941503094,0.4267395462572542
340,62,4,2,9,9206,0.18613867250146712,0.4902982063235348,0.4263671585323506
341,64,4,2,9,9206,0.18368519199614555,0.49095883640357174,0.42701540784340697
342,66,4,2,9,9206,0.1804926752329303,0.4926578980298925,0.4267028759723223
343,68,4,2,9,9206,0.17913369609634125,0.49547262502396866,0.4276432764023562
344,70,4,2,9,9206,0.176280912754941,0.4938055686280169,0.42821865087143907
345,72,4,2,9,9206,0.1733706908835899,0.4951729535051239,0.42763989949918896
